Investor,Startup,Compatibility,Score
Grant PLC,Martin-Hudson,Low Compatibility,42.0
"Watkins, Wood and Bird","White, Odom and Burke",Low Compatibility,42.0
"Watkins, Wood and Bird",Manning Group,Low Compatibility,42.0
"Watkins, Wood and Bird","Greene, Dyer and Owens",Low Compatibility,42.0
"Watkins, Wood and Bird",Combs-Rivera,Low Compatibility,42.0
Hodges-Mendoza,"Edwards, Cabrera and Miller",Low Compatibility,42.0
Hodges-Mendoza,Jensen-Roberts,Low Compatibility,42.0
Hodges-Mendoza,Rivera Inc,Low Compatibility,42.0
Hodges-Mendoza,Taylor-Taylor,Low Compatibility,42.0
Hodges-Mendoza,"Fischer, Oconnor and Wright",Low Compatibility,42.0
Hodges-Mendoza,"Jackson, Scott and Mclean",Low Compatibility,42.0
Hodges-Mendoza,Barrett and Sons,Low Compatibility,42.0
Hodges-Mendoza,Martinez and Sons,Low Compatibility,42.0
Shields PLC,Hunt LLC,Low Compatibility,42.0
Shields PLC,"Bennett, Green and Robles",Low Compatibility,42.0
Shields PLC,"Perkins, Moss and Moreno",Low Compatibility,42.0
Shields PLC,"Lee, Sosa and Hernandez",Low Compatibility,42.0
"Watkins, Wood and Bird","Hammond, Thornton and Michael",Low Compatibility,42.0
"Watkins, Wood and Bird","Bennett, Walker and Taylor",Low Compatibility,42.0
"Watkins, Wood and Bird",Martinez Inc,Low Compatibility,42.0
"Watkins, Wood and Bird",Taylor LLC,Low Compatibility,42.0
"Watkins, Wood and Bird","Woodard, Beck and Kim",Low Compatibility,42.0
Hodges-Mendoza,Hickman and Sons,Low Compatibility,42.0
Hodges-Mendoza,"Warren, Prince and Walker",Low Compatibility,42.0
Hodges-Mendoza,"White, Odom and Burke",Low Compatibility,42.0
Duncan-Rivas,"Greene, Dyer and Owens",Low Compatibility,42.0
Carney Group,Torres-Orr,Low Compatibility,42.0
Hodges-Mendoza,Manning Group,Low Compatibility,42.0
Hodges-Mendoza,"Greene, Dyer and Owens",Low Compatibility,42.0
Duncan-Rivas,"White, Odom and Burke",Low Compatibility,42.0
Duncan-Rivas,Manning Group,Low Compatibility,42.0
Duncan-Rivas,Taylor-Taylor,Low Compatibility,42.0
Duncan-Rivas,"Fischer, Oconnor and Wright",Low Compatibility,42.0
Duncan-Rivas,Torres Inc,Low Compatibility,42.0
Duncan-Rivas,"Jackson, Scott and Mclean",Low Compatibility,42.0
Duncan-Rivas,Martinez and Sons,Low Compatibility,42.0
"Watkins, Wood and Bird",Torres Inc,Low Compatibility,42.0
"Watkins, Wood and Bird","Jackson, Scott and Mclean",Low Compatibility,42.0
"Watkins, Wood and Bird",Barrett and Sons,Low Compatibility,42.0
"Watkins, Wood and Bird",Martinez and Sons,Low Compatibility,42.0
"Watkins, Wood and Bird",Padilla Inc,Low Compatibility,42.0
Shields PLC,York-Ball,Low Compatibility,42.0
Shields PLC,Johnston-Fuller,Low Compatibility,42.0
Shields PLC,"Smith, Cunningham and Mays",Low Compatibility,42.0
Shields PLC,"Walker, Allen and Conrad",Low Compatibility,42.0
Fleming Ltd,"Gay, Hoffman and Rose",Low Compatibility,42.0
Bennett-Roberts,Martinez and Sons,Low Compatibility,42.0
Williams-Melton,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
"Watkins, Wood and Bird",Adkins-Dean,Low Compatibility,42.0
"Watkins, Wood and Bird","Fuentes, Hebert and Hunter",Low Compatibility,42.0
"Watkins, Wood and Bird",Murphy PLC,Low Compatibility,42.0
Shields PLC,"Grant, Wright and Pearson",Low Compatibility,42.0
Shields PLC,Hess-Wheeler,Low Compatibility,42.0
Shields PLC,Spencer and Sons,Low Compatibility,42.0
Shields PLC,Hill-Huerta,Low Compatibility,42.0
"Watkins, Wood and Bird",Taylor-Taylor,Low Compatibility,42.0
"Watkins, Wood and Bird","Fischer, Oconnor and Wright",Low Compatibility,42.0
Bennett-Roberts,Murphy PLC,Low Compatibility,42.0
Duncan-Rivas,"Woodard, Beck and Kim",Low Compatibility,42.0
Duncan-Rivas,Hickman and Sons,Low Compatibility,42.0
Duncan-Rivas,"Warren, Prince and Walker",Low Compatibility,42.0
Williams-Melton,"Grant, Wright and Pearson",Low Compatibility,42.0
Williams-Melton,Hess-Wheeler,Low Compatibility,42.0
Shields PLC,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Miller-Lamb,"Smith, Cunningham and Mays",Low Compatibility,42.0
Miller-Lamb,"Walker, Allen and Conrad",Low Compatibility,42.0
Miller-Lamb,Hunt LLC,Low Compatibility,42.0
Williams-Melton,Spencer and Sons,Low Compatibility,42.0
Williams-Melton,Hill-Huerta,Low Compatibility,42.0
Williams-Melton,"Crawford, Reyes and Smith",Low Compatibility,42.0
Duncan-Rivas,Padilla Inc,Low Compatibility,42.0
Duncan-Rivas,"Hammond, Thornton and Michael",Low Compatibility,42.0
Duncan-Rivas,Taylor LLC,Low Compatibility,42.0
Bennett-Roberts,"Edwards, Cabrera and Miller",Low Compatibility,42.0
Parker-Miller,Combs-Rivera,Low Compatibility,42.0
Bennett-Roberts,Rivera Inc,Low Compatibility,42.0
Bennett-Roberts,Torres Inc,Low Compatibility,42.0
Miller-Johnson,Murphy PLC,Low Compatibility,42.0
Miller-Johnson,Taylor-Taylor,Low Compatibility,42.0
Miller-Lamb,"Grant, Wright and Pearson",Low Compatibility,42.0
Miller-Lamb,Hess-Wheeler,Low Compatibility,42.0
Miller-Lamb,Spencer and Sons,Low Compatibility,42.0
Williams-Melton,Hunt LLC,Low Compatibility,42.0
Williams-Melton,"Bennett, Green and Robles",Low Compatibility,42.0
Williams-Melton,"Perkins, Moss and Moreno",Low Compatibility,42.0
Williams-Melton,Johnston-Fuller,Low Compatibility,42.0
Miller-Lamb,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Miller-Lamb,York-Ball,Low Compatibility,42.0
Miller-Lamb,Johnston-Fuller,Low Compatibility,42.0
Miller-Lamb,Brown-Burton,Low Compatibility,42.0
Williams-Melton,Brown-Burton,Low Compatibility,42.0
Williams-Melton,Brown-Watson,Low Compatibility,42.0
Williams-Melton,Nguyen PLC,Low Compatibility,42.0
Williams-Melton,"Walker, Allen and Conrad",Low Compatibility,42.0
Miller-Lamb,Brown-Watson,Low Compatibility,42.0
Miller-Lamb,Nguyen PLC,Low Compatibility,42.0
Thompson and Sons,Hunt LLC,Low Compatibility,42.0
Thompson and Sons,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Thompson and Sons,York-Ball,Low Compatibility,42.0
Smith Group,Johnston-Fuller,Low Compatibility,42.0
Smith Group,Brown-Burton,Low Compatibility,42.0
Smith Group,Brown-Watson,Low Compatibility,42.0
Smith Group,Nguyen PLC,Low Compatibility,42.0
Thompson and Sons,Johnston-Fuller,Low Compatibility,42.0
Thompson and Sons,Brown-Burton,Low Compatibility,42.0
Barker and Sons,"Rogers, Larsen and Smith",Low Compatibility,42.0
Barker and Sons,Harris Group,Low Compatibility,42.0
Barker and Sons,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Miller-Johnson,"Fuentes, Hebert and Hunter",Low Compatibility,42.0
Wilson-Miller,Hunt LLC,Low Compatibility,42.0
Wilson-Miller,"Bennett, Green and Robles",Low Compatibility,42.0
"Peterson, Turner and Meyers",Martin-Hudson,Low Compatibility,42.0
"King, Foster and Orr",Johnston-Fuller,Low Compatibility,42.0
"King, Foster and Orr",York-Ball,Low Compatibility,42.0
Bennett-Roberts,Taylor LLC,Low Compatibility,42.0
Bennett-Roberts,"Woodard, Beck and Kim",Low Compatibility,42.0
"King, Foster and Orr","Lee, Sosa and Hernandez",Low Compatibility,42.0
"Avery, Jackson and Simmons",Combs-Rivera,Low Compatibility,42.0
Duncan-Rivas,Adkins-Dean,Low Compatibility,42.0
Duncan-Rivas,"Fuentes, Hebert and Hunter",Low Compatibility,42.0
Duncan-Rivas,"Edwards, Cabrera and Miller",Low Compatibility,42.0
Duncan-Rivas,Jensen-Roberts,Low Compatibility,42.0
Duncan-Rivas,Rivera Inc,Low Compatibility,42.0
Bennett-Roberts,"Warren, Prince and Walker",Low Compatibility,42.0
Williams-Melton,"Smith, Cunningham and Mays",Low Compatibility,42.0
"Peterson, Turner and Meyers","Rogers, Larsen and Smith",Low Compatibility,42.0
"King, Foster and Orr","Perkins, Moss and Moreno",Low Compatibility,42.0
Bennett-Roberts,Manning Group,Low Compatibility,42.0
Bennett-Roberts,"Greene, Dyer and Owens",Low Compatibility,42.0
Bennett-Roberts,Combs-Rivera,Low Compatibility,42.0
Morris-Brown,"Smith, Cunningham and Mays",Low Compatibility,42.0
"King, Foster and Orr","Bennett, Green and Robles",Low Compatibility,42.0
"Avery, Jackson and Simmons","Warren, Prince and Walker",Low Compatibility,42.0
"Avery, Jackson and Simmons","Fischer, Oconnor and Wright",Low Compatibility,42.0
"Avery, Jackson and Simmons",Torres Inc,Low Compatibility,42.0
"Peterson, Turner and Meyers",Mata Ltd,Low Compatibility,42.0
Miller-Lamb,Hill-Huerta,Low Compatibility,42.0
Miller-Lamb,"Crawford, Reyes and Smith",Low Compatibility,42.0
Miller-Lamb,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Wilson-Miller,"Smith, Cunningham and Mays",Low Compatibility,42.0
Wilson-Miller,"Walker, Allen and Conrad",Low Compatibility,42.0
Clark PLC,Nguyen PLC,Low Compatibility,42.0
Clark PLC,"Grant, Wright and Pearson",Low Compatibility,42.0
Clark PLC,Hess-Wheeler,Low Compatibility,42.0
Wilson-Miller,Brown-Burton,Low Compatibility,42.0
Wilson-Miller,Brown-Watson,Low Compatibility,42.0
Wilson-Miller,Nguyen PLC,Low Compatibility,42.0
Wilson-Miller,"Grant, Wright and Pearson",Low Compatibility,42.0
Wilson-Miller,Hess-Wheeler,Low Compatibility,42.0
Clark PLC,Spencer and Sons,Low Compatibility,42.0
Clark PLC,Hill-Huerta,Low Compatibility,42.0
Clark PLC,"Crawford, Reyes and Smith",Low Compatibility,42.0
Clark PLC,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
"Peterson, Turner and Meyers","Gay, Hoffman and Rose",Low Compatibility,42.0
"Peterson, Turner and Meyers",Torres-Orr,Low Compatibility,42.0
Wilson-Miller,"Perkins, Moss and Moreno",Low Compatibility,42.0
Wilson-Miller,Johnston-Fuller,Low Compatibility,42.0
"King, Foster and Orr",Hunt LLC,Low Compatibility,42.0
Clark PLC,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Clark PLC,York-Ball,Low Compatibility,42.0
Clark PLC,Johnston-Fuller,Low Compatibility,42.0
Fleming Ltd,Martin-Hudson,Low Compatibility,42.0
Fleming Ltd,"Miller, Swanson and Allen",Low Compatibility,42.0
"Avery, Jackson and Simmons",Padilla Inc,Low Compatibility,42.0
"Avery, Jackson and Simmons","Hammond, Thornton and Michael",Low Compatibility,42.0
Fleming Ltd,Bell-Stephenson,Low Compatibility,42.0
Fleming Ltd,"Dalton, Nguyen and Webb",Low Compatibility,42.0
"Avery, Jackson and Simmons",Taylor LLC,Low Compatibility,42.0
Morris-Brown,"Walker, Allen and Conrad",Low Compatibility,42.0
Miller-Johnson,"Woodard, Beck and Kim",Low Compatibility,42.0
Stephens Inc,"Edwards, Cabrera and Miller",Low Compatibility,42.0
Clark PLC,Brown-Burton,Low Compatibility,42.0
Clark PLC,Brown-Watson,Low Compatibility,42.0
Stephens Inc,Jensen-Roberts,Low Compatibility,42.0
"Avery, Jackson and Simmons",Rivera Inc,Low Compatibility,42.0
"Avery, Jackson and Simmons",Taylor-Taylor,Low Compatibility,42.0
Morris-Brown,Johnston-Fuller,Low Compatibility,42.0
Morris-Brown,Brown-Burton,Low Compatibility,42.0
Hopkins LLC,Hill-Huerta,Low Compatibility,42.0
Hopkins LLC,"Crawford, Reyes and Smith",Low Compatibility,42.0
Hopkins LLC,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Clark PLC,"Smith, Cunningham and Mays",Low Compatibility,42.0
Clark PLC,"Walker, Allen and Conrad",Low Compatibility,42.0
Clark PLC,Hunt LLC,Low Compatibility,42.0
Smith Group,"Perkins, Moss and Moreno",Low Compatibility,42.0
Wilson-Miller,Spencer and Sons,Low Compatibility,42.0
Wilson-Miller,Hill-Huerta,Low Compatibility,42.0
Wilson-Miller,"Crawford, Reyes and Smith",Low Compatibility,42.0
Wilson-Miller,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Smith Group,"Bennett, Green and Robles",Low Compatibility,42.0
"Odonnell, Thornton and King","Gay, Hoffman and Rose",Low Compatibility,42.0
"Odonnell, Thornton and King",Torres-Orr,Low Compatibility,42.0
Miller-Johnson,"White, Odom and Burke",Low Compatibility,42.0
Miller-Johnson,Manning Group,Low Compatibility,42.0
Hopkins LLC,Brown-Watson,Low Compatibility,42.0
Hopkins LLC,Nguyen PLC,Low Compatibility,42.0
Hopkins LLC,"Grant, Wright and Pearson",Low Compatibility,42.0
Hopkins LLC,Hess-Wheeler,Low Compatibility,42.0
Hopkins LLC,Spencer and Sons,Low Compatibility,42.0
Miller-Johnson,"Greene, Dyer and Owens",Low Compatibility,42.0
Miller-Johnson,Combs-Rivera,Low Compatibility,42.0
"Avery, Jackson and Simmons",Adkins-Dean,Low Compatibility,42.0
"Avery, Jackson and Simmons","Fuentes, Hebert and Hunter",Low Compatibility,42.0
"Avery, Jackson and Simmons",Murphy PLC,Low Compatibility,42.0
"Avery, Jackson and Simmons","Edwards, Cabrera and Miller",Low Compatibility,42.0
Hopkins LLC,Brown-Burton,Low Compatibility,42.0
Miller-Johnson,"Fischer, Oconnor and Wright",Low Compatibility,42.0
Miller-Johnson,Torres Inc,Low Compatibility,42.0
Barker and Sons,Mata Ltd,Low Compatibility,42.0
Barker and Sons,Bell-Stephenson,Low Compatibility,42.0
Thompson and Sons,Brown-Watson,Low Compatibility,42.0
Thompson and Sons,Nguyen PLC,Low Compatibility,42.0
Thompson and Sons,"Grant, Wright and Pearson",Low Compatibility,42.0
Thompson and Sons,Hess-Wheeler,Low Compatibility,42.0
Thompson and Sons,Spencer and Sons,Low Compatibility,42.0
Thompson and Sons,Hill-Huerta,Low Compatibility,42.0
Thompson and Sons,"Crawford, Reyes and Smith",Low Compatibility,42.0
Thompson and Sons,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Smith Group,"Smith, Cunningham and Mays",Low Compatibility,42.0
Smith Group,"Walker, Allen and Conrad",Low Compatibility,42.0
Smith Group,Hunt LLC,Low Compatibility,42.0
Parker-Miller,"Edwards, Cabrera and Miller",Low Compatibility,42.0
Parker-Miller,Jensen-Roberts,Low Compatibility,42.0
Parker-Miller,Rivera Inc,Low Compatibility,42.0
Barker and Sons,"Gay, Hoffman and Rose",Low Compatibility,42.0
Barker and Sons,Torres-Orr,Low Compatibility,42.0
Miller-Johnson,"Jackson, Scott and Mclean",Low Compatibility,42.0
Potts Inc,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Miller-Johnson,Barrett and Sons,Low Compatibility,42.0
Miller-Johnson,Martinez and Sons,Low Compatibility,42.0
Miller-Johnson,Padilla Inc,Low Compatibility,42.0
Morris-Brown,Spencer and Sons,Low Compatibility,42.0
Miller-Johnson,"Hammond, Thornton and Michael",Low Compatibility,42.0
Morris-Brown,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Hopkins LLC,"Bennett, Green and Robles",Low Compatibility,42.0
Hopkins LLC,"Perkins, Moss and Moreno",Low Compatibility,42.0
Hopkins LLC,Johnston-Fuller,Low Compatibility,42.0
Parker-Miller,"Woodard, Beck and Kim",Low Compatibility,42.0
French Ltd,"Bennett, Green and Robles",Low Compatibility,42.0
Becker Ltd,"Lee, Sosa and Hernandez",Low Compatibility,42.0
"Berry, Williams and Bean","Bennett, Walker and Taylor",Low Compatibility,42.0
Becker Ltd,Brown-Burton,Low Compatibility,42.0
"Berry, Williams and Bean",Martinez Inc,Low Compatibility,42.0
"Berry, Williams and Bean",Taylor LLC,Low Compatibility,42.0
"Odonnell, Thornton and King",Harris Group,Low Compatibility,42.0
"Odonnell, Thornton and King","Dalton, Nguyen and Webb",Low Compatibility,42.0
"Odonnell, Thornton and King",Mata Ltd,Low Compatibility,42.0
"Berry, Williams and Bean","Woodard, Beck and Kim",Low Compatibility,42.0
Hopkins LLC,"Smith, Cunningham and Mays",Low Compatibility,42.0
Hopkins LLC,"Walker, Allen and Conrad",Low Compatibility,42.0
Hopkins LLC,Hunt LLC,Low Compatibility,42.0
"Berry, Williams and Bean",Hickman and Sons,Low Compatibility,42.0
Parker-Miller,Murphy PLC,Low Compatibility,42.0
Stephens Inc,"Greene, Dyer and Owens",Low Compatibility,42.0
Stephens Inc,Combs-Rivera,Low Compatibility,42.0
"Odonnell, Thornton and King",Bell-Stephenson,Low Compatibility,42.0
"Odonnell, Thornton and King","Miller, Swanson and Allen",Low Compatibility,42.0
"Odonnell, Thornton and King",Martin-Hudson,Low Compatibility,42.0
"Vaughn, Smith and Larson",Torres-Orr,Low Compatibility,42.0
Becker Ltd,"Smith, Cunningham and Mays",Low Compatibility,42.0
Becker Ltd,"Walker, Allen and Conrad",Low Compatibility,42.0
Becker Ltd,"Bennett, Green and Robles",Low Compatibility,42.0
Parker-Miller,Torres Inc,Low Compatibility,42.0
"Berry, Williams and Bean","Warren, Prince and Walker",Low Compatibility,42.0
Parker-Miller,Barrett and Sons,Low Compatibility,42.0
Parker-Miller,Martinez and Sons,Low Compatibility,42.0
Parker-Miller,"Bennett, Walker and Taylor",Low Compatibility,42.0
Parker-Miller,Martinez Inc,Low Compatibility,42.0
Parker-Miller,Taylor LLC,Low Compatibility,42.0
Miller-Johnson,Martinez Inc,Low Compatibility,42.0
Stephens Inc,Rivera Inc,Low Compatibility,42.0
Stephens Inc,Taylor-Taylor,Low Compatibility,42.0
Stephens Inc,"Fischer, Oconnor and Wright",Low Compatibility,42.0
Stephens Inc,"Jackson, Scott and Mclean",Low Compatibility,42.0
Stephens Inc,Barrett and Sons,Low Compatibility,42.0
Stephens Inc,Martinez and Sons,Low Compatibility,42.0
Stephens Inc,Padilla Inc,Low Compatibility,42.0
Stephens Inc,"Hammond, Thornton and Michael",Low Compatibility,42.0
Stephens Inc,"Bennett, Walker and Taylor",Low Compatibility,42.0
Stephens Inc,Martinez Inc,Low Compatibility,42.0
Stephens Inc,"Woodard, Beck and Kim",Low Compatibility,42.0
Stephens Inc,Hickman and Sons,Low Compatibility,42.0
Stephens Inc,"Warren, Prince and Walker",Low Compatibility,42.0
Stephens Inc,"White, Odom and Burke",Low Compatibility,42.0
Stephens Inc,Manning Group,Low Compatibility,42.0
Miller-Johnson,"Bennett, Walker and Taylor",Low Compatibility,42.0
Hutchinson PLC,Torres-Orr,Low Compatibility,42.0
Fleming Ltd,Harris Group,Low Compatibility,42.0
Fleming Ltd,"Rogers, Larsen and Smith",Low Compatibility,42.0
"King, Foster and Orr",Brown-Burton,Low Compatibility,42.0
"King, Foster and Orr",Brown-Watson,Low Compatibility,42.0
Parker-Miller,Hickman and Sons,Low Compatibility,42.0
Parker-Miller,"Warren, Prince and Walker",Low Compatibility,42.0
Parker-Miller,"White, Odom and Burke",Low Compatibility,42.0
Parker-Miller,Manning Group,Low Compatibility,42.0
Parker-Miller,"Greene, Dyer and Owens",Low Compatibility,42.0
"Vaughn, Smith and Larson","Rogers, Larsen and Smith",Low Compatibility,42.0
"Vaughn, Smith and Larson",Harris Group,Low Compatibility,42.0
"Vaughn, Smith and Larson","Dalton, Nguyen and Webb",Low Compatibility,42.0
"Vaughn, Smith and Larson",Mata Ltd,Low Compatibility,42.0
Stephens Inc,Murphy PLC,Low Compatibility,42.0
Stephens Inc,"Fuentes, Hebert and Hunter",Low Compatibility,42.0
Maldonado PLC,Murphy PLC,Low Compatibility,42.0
"King, Foster and Orr",Nguyen PLC,Low Compatibility,42.0
"King, Foster and Orr","Grant, Wright and Pearson",Low Compatibility,42.0
"King, Foster and Orr",Hess-Wheeler,Low Compatibility,42.0
"Vaughn, Smith and Larson",Bell-Stephenson,Low Compatibility,42.0
"Vaughn, Smith and Larson","Miller, Swanson and Allen",Low Compatibility,42.0
"King, Foster and Orr",Spencer and Sons,Low Compatibility,42.0
"King, Foster and Orr",Hill-Huerta,Low Compatibility,42.0
"King, Foster and Orr","Crawford, Reyes and Smith",Low Compatibility,42.0
"King, Foster and Orr","Meadows, Stephens and Hernandez",Low Compatibility,42.0
Stephens Inc,Adkins-Dean,Low Compatibility,42.0
Hutchinson PLC,Mata Ltd,Low Compatibility,42.0
Hutchinson PLC,Martin-Hudson,Low Compatibility,42.0
Miller-Johnson,Taylor LLC,Low Compatibility,42.0
Hutchinson PLC,"Gay, Hoffman and Rose",Low Compatibility,42.0
"Avery, Jackson and Simmons",Hill-Huerta,Low Compatibility,39.0
Potts Inc,"Jackson, Scott and Mclean",Low Compatibility,39.0
Potts Inc,"Warren, Prince and Walker",Low Compatibility,39.0
Gibson-Jones,Brown-Watson,Low Compatibility,39.0
"Avery, Jackson and Simmons",Martin-Hudson,Low Compatibility,39.0
"Avery, Jackson and Simmons","Miller, Swanson and Allen",Low Compatibility,39.0
"King, Mitchell and Williams",Barrett and Sons,Low Compatibility,39.0
Potts Inc,"Woodard, Beck and Kim",Low Compatibility,39.0
Gibson-Jones,"Grant, Wright and Pearson",Low Compatibility,39.0
Morris-Brown,Martinez Inc,Low Compatibility,39.0
Bennett-Roberts,Nguyen PLC,Low Compatibility,39.0
Gibson-Jones,Hess-Wheeler,Low Compatibility,39.0
Becker Ltd,Barrett and Sons,Low Compatibility,39.0
Bennett-Roberts,"Gay, Hoffman and Rose",Low Compatibility,39.0
Gibson-Jones,"Miller, Swanson and Allen",Low Compatibility,39.0
Ryan LLC,"Rogers, Larsen and Smith",Low Compatibility,39.0
"Avery, Jackson and Simmons",Nguyen PLC,Low Compatibility,39.0
"Avery, Jackson and Simmons","Perkins, Moss and Moreno",Low Compatibility,39.0
Ryan LLC,Mata Ltd,Low Compatibility,39.0
Hall PLC,Martinez Inc,Low Compatibility,39.0
Ryan LLC,"Crawford, Reyes and Smith",Low Compatibility,39.0
Bennett-Roberts,Hill-Huerta,Low Compatibility,39.0
Maldonado PLC,"Bennett, Green and Robles",Low Compatibility,39.0
Bennett-Roberts,Martin-Hudson,Low Compatibility,39.0
Gibson-Jones,Hunt LLC,Low Compatibility,39.0
Hall PLC,"White, Odom and Burke",Low Compatibility,39.0
"King, Mitchell and Williams",Hickman and Sons,Low Compatibility,39.0
Becker Ltd,"White, Odom and Burke",Low Compatibility,39.0
Gibson-Jones,York-Ball,Low Compatibility,39.0
Ryan LLC,"Lee, Sosa and Hernandez",Low Compatibility,39.0
Morris-Brown,Jensen-Roberts,Low Compatibility,39.0
Morris-Brown,"White, Odom and Burke",Low Compatibility,39.0
Gibson-Jones,Harris Group,Low Compatibility,39.0
Morris-Brown,Hickman and Sons,Low Compatibility,39.0
"King, Mitchell and Williams",Jensen-Roberts,Low Compatibility,39.0
Potts Inc,"Greene, Dyer and Owens",Low Compatibility,39.0
"Avery, Jackson and Simmons","Gay, Hoffman and Rose",Low Compatibility,39.0
Potts Inc,York-Ball,Low Compatibility,37.5
Hall PLC,"Perkins, Moss and Moreno",Low Compatibility,37.5
Potts Inc,"Perkins, Moss and Moreno",Low Compatibility,37.5
Miller and Sons,Hickman and Sons,Low Compatibility,37.5
Maldonado PLC,"Warren, Prince and Walker",Low Compatibility,37.5
Miller and Sons,"White, Odom and Burke",Low Compatibility,37.5
Morris-Brown,Martin-Hudson,Low Compatibility,37.5
Potts Inc,Hill-Huerta,Low Compatibility,37.5
Hall PLC,Nguyen PLC,Low Compatibility,37.5
Potts Inc,"Grant, Wright and Pearson",Low Compatibility,37.5
Maldonado PLC,"Fuentes, Hebert and Hunter",Low Compatibility,37.5
Miller and Sons,Martinez Inc,Low Compatibility,37.5
Miller and Sons,"Bennett, Walker and Taylor",Low Compatibility,37.5
Morris-Brown,"Gay, Hoffman and Rose",Low Compatibility,37.5
Miller and Sons,Jensen-Roberts,Low Compatibility,37.5
Maldonado PLC,"Woodard, Beck and Kim",Low Compatibility,37.5
Maldonado PLC,"Bennett, Walker and Taylor",Low Compatibility,37.5
Maldonado PLC,"Jackson, Scott and Mclean",Low Compatibility,37.5
Maldonado PLC,"Greene, Dyer and Owens",Low Compatibility,37.5
Hall PLC,"Bennett, Walker and Taylor",Low Compatibility,33.0
Morris-Brown,"Greene, Dyer and Owens",Low Compatibility,33.0
Hall PLC,"Jackson, Scott and Mclean",Low Compatibility,33.0
Hall PLC,"Greene, Dyer and Owens",Low Compatibility,33.0
"Avery, Jackson and Simmons",Mata Ltd,Low Compatibility,33.0
"Avery, Jackson and Simmons",Hess-Wheeler,Low Compatibility,33.0
"Avery, Jackson and Simmons","Grant, Wright and Pearson",Low Compatibility,33.0
Bennett-Roberts,Hunt LLC,Low Compatibility,33.0
French Ltd,Hickman and Sons,Low Compatibility,33.0
Harris Ltd,Hickman and Sons,Low Compatibility,33.0
"Avery, Jackson and Simmons",Brown-Watson,Low Compatibility,33.0
Bennett-Roberts,Mata Ltd,Low Compatibility,33.0
Bennett-Roberts,Hess-Wheeler,Low Compatibility,33.0
Bennett-Roberts,"Miller, Swanson and Allen",Low Compatibility,33.0
Hall PLC,"Woodard, Beck and Kim",Low Compatibility,33.0
Harris Ltd,Barrett and Sons,Low Compatibility,33.0
Potts Inc,Taylor-Taylor,Low Compatibility,33.0
Potts Inc,Rivera Inc,Low Compatibility,33.0
"King, Mitchell and Williams","Warren, Prince and Walker",Low Compatibility,33.0
Potts Inc,"Edwards, Cabrera and Miller",Low Compatibility,33.0
Potts Inc,"Fuentes, Hebert and Hunter",Low Compatibility,33.0
Bennett-Roberts,"Grant, Wright and Pearson",Low Compatibility,33.0
Morris-Brown,"Woodard, Beck and Kim",Low Compatibility,33.0
Bennett-Roberts,York-Ball,Low Compatibility,33.0
French Ltd,"White, Odom and Burke",Low Compatibility,33.0
Smith-Wright,Barrett and Sons,Low Compatibility,33.0
Becker Ltd,Martinez Inc,Low Compatibility,33.0
Becker Ltd,"Bennett, Walker and Taylor",Low Compatibility,33.0
Hall PLC,Taylor-Taylor,Low Compatibility,33.0
Becker Ltd,"Jackson, Scott and Mclean",Low Compatibility,33.0
Bennett-Roberts,Brown-Watson,Low Compatibility,33.0
Potts Inc,Martinez and Sons,Low Compatibility,33.0
Miller and Sons,"Walker, Allen and Conrad",Low Compatibility,33.0
"Rush, Palmer and Perkins",Jensen-Roberts,Low Compatibility,33.0
"Rush, Palmer and Perkins","White, Odom and Burke",Low Compatibility,33.0
"Rush, Palmer and Perkins",Hickman and Sons,Low Compatibility,33.0
"Aguirre, Vincent and Chang","Gay, Hoffman and Rose",Low Compatibility,33.0
Miller and Sons,"Smith, Cunningham and Mays",Low Compatibility,33.0
Harris Ltd,Jensen-Roberts,Low Compatibility,33.0
"King, Mitchell and Williams",Martinez Inc,Low Compatibility,33.0
"King, Mitchell and Williams","Bennett, Walker and Taylor",Low Compatibility,33.0
Potts Inc,"Hammond, Thornton and Michael",Low Compatibility,33.0
Potts Inc,Taylor LLC,Low Compatibility,33.0
French Ltd,"Woodard, Beck and Kim",Low Compatibility,33.0
French Ltd,"Jackson, Scott and Mclean",Low Compatibility,33.0
French Ltd,Jensen-Roberts,Low Compatibility,33.0
"Aguirre, Vincent and Chang","Perkins, Moss and Moreno",Low Compatibility,33.0
Hall PLC,"Fuentes, Hebert and Hunter",Low Compatibility,33.0
Maldonado PLC,"Dalton, Nguyen and Webb",Low Compatibility,33.0
"Rush, Palmer and Perkins",Martinez Inc,Low Compatibility,33.0
Maldonado PLC,Johnston-Fuller,Low Compatibility,33.0
"Rush, Palmer and Perkins",Barrett and Sons,Low Compatibility,33.0
